,player_id,player_name,team_name,accuratecrosses,accuratecrossespercentage,accuratefinalthirdpasses,accuratelongballs,accuratelongballspercentage,accuratepasses,accuratepassespercentage,aerialduelswon,aerialduelswonpercentage,age,appearances,assists,bigchancescreated,bigchancesmissed,blockedshots(defensive),blockedshots(offensive),cleansheet(gk),cleansheet(df),clearances,crossesnotclaimed,detailed_positions,dribbledpast,errorleadtogoal,errorleadtoshot,expectedassists,expectedgoals,fouls,goalconversionpercentage,goals,goalsassistssum,goalsconceded,height_cm,inaccuratepasses,interceptions,keypasses,matchesstarted,minutesplayed,offsides,passtoassist,penaltiestaken,penaltyconversion,penaltygoals,position,preferred_foot,rating,redcards,savedshotsfrominsidethebox,saves,shotsontarget,successfuldribbles,successfuldribblespercentage,tackles,totalcross,totalduelswon,totalduelswonpercentage,totallongballs,totalpasses,totalshots,wasfouled,yellowcards,position_new
0,71225,Maxime Lestienne,Lion City Sailors,77,35.48,91,68,46.58,800,70.8,4,80,33,27,19,14,5,0,34,0,0,1,0,"MR, RW, LW",9,0,3,18.08,13.98,4,11.2,14,33,26,176,330,13,112,24,2401,14,4,3,100,3,M,Left,8.99,0,0,0,38,217,87.85,0,217,259,61.81,146,1130,125,20,1,F
1,1186208,Kan Kobayashi,Young Lions,24,50,142,68,59.65,1198,85.69,26,38.24,26,30,6,5,1,15,15,0,0,31,0,MC,35,0,22,7.8,6.07,29,12.96,7,13,81,182,200,36,74,30,2700,4,4,1,0,0,M,Right,7.41,0,0,0,25,27,69.23,6,48,133,31.52,114,1398,54,23,2,M
2,1116213,Glenn Kweh,Tampines Rovers,37,32.74,49,10,38.46,705,79.84,6,28.57,25,32,8,7,3,1,8,0,0,11,0,"RW, DL",29,0,2,8.26,5.47,12,20.59,7,15,24,172,178,20,71,26,2262,4,2,0,0,0,M,Left,7.33,0,0,0,17,66,76.74,1,113,125,39.06,26,883,34,17,1,F
3,887751,Vincent Bezecourt,Geylang International,14,25.45,132,44,41.9,1050,81.14,10,50,32,28,10,2,1,3,14,0,0,8,0,"AM, MC",48,0,11,7.27,4.89,19,14.93,10,20,57,170,244,21,63,28,2520,0,3,0,0,0,M,Left,7.62,0,0,0,28,92,69.17,16,55,263,45.82,105,1294,67,67,5,M
4,1108266,Takahiro Tezuka,Geylang International,13,43.33,319,170,65.89,1994,89.46,26,50.98,26,30,6,1,0,3,1,0,0,22,0,"MC, DM",42,0,17,4.47,0.98,28,11.11,2,8,57,181,235,61,58,30,2700,1,3,0,0,0,M,Right,7.47,0,0,0,8,5,62.5,12,30,100,34.48,258,2229,18,15,2,M
5,851803,Faris Ramli,Tampines Rovers,40,28.37,23,10,34.48,495,70.01,14,50,32,28,8,5,4,1,15,0,0,4,0,LW,28,0,4,7.37,9.15,15,16.13,10,18,23,168,212,8,54,21,2033,12,4,0,0,0,M,Right,7.67,0,0,0,23,94,82.46,3,141,162,48.21,29,707,62,22,2,F
6,788951,Bart Ramselaar,Lion City Sailors,21,35,71,30,62.5,560,83.33,0,0,28,20,7,3,1,2,19,0,0,2,0,"LW, ML",15,0,3,7.54,6.1,9,16.13,10,17,12,180,112,11,50,17,1554,3,7,0,0,0,M,Right,8.05,0,0,0,22,84,86.6,0,60,122,50.62,48,672,62,8,2,M
7,1857261,Miguel Oliveira,Brunei DPMM FC,57,36.54,49,46,47.42,479,66.62,5,20,29,29,7,5,2,1,26,0,1,15,0,RW,29,0,7,6.83,7.79,26,10.75,10,17,56,167,240,17,50,29,2610,13,1,0,0,0,M,Right,7.69,0,0,0,40,149,79.68,6,156,247,49.11,97,719,93,36,6,F
8,358968,Kyoga Nakamura,Tampines Rovers,27,42.19,355,126,64.29,1970,88.34,8,38.1,29,32,7,1,1,5,23,0,0,23,0,"MC, DM",46,0,8,5.75,2.64,36,4.55,3,10,35,166,260,30,49,31,2880,1,7,0,0,0,M,Left,7.61,0,0,0,19,55,88.71,23,64,167,44.77,196,2230,66,46,3,M
9,309714,Tomoki Wada,Tanjong Pagar United,7,19.44,158,87,56.13,997,82.46,13,39.39,30,30,5,3,0,12,8,0,0,15,0,"MC, AM",39,0,17,5.03,2.09,18,5.56,2,7,89,172,212,59,46,30,2700,2,1,0,0,0,M,Right,7.06,0,0,0,13,15,71.43,9,36,109,36.09,155,1209,36,23,1,M
